,,,,,,,
,,,,,,,
,,,,,,,
,Secteur,Numéro,Nom,X,Y,Altitude ,Description
,Col de l’Arcelin  Ducluzeaux ,AR1,,,,2610,-25m
,Col de l’Arcelin  Ducluzeaux ,AR2,,,,2580,Sondé a 20m violent courant d’air
,Col de l’Arcelin  Ducluzeaux ,AR3,Gouffre de l’Arcelin,325237,5027012,2560,-45m Arret sur etroiture après 15m de méandre actif
,,,,,,,
, Secteur Pte de la Vive Arcelin 18/10/21,Arcel1,,325573,5027449,2530,"P8/10m bien sculpté, pas de spit. "
, Secteur Pte de la Vive Arcelin 18/10/21,Arcel2,,325884,5027304,2757,"Diaclase profonde d’1m large de 50cm, bouchée par des sédiments, prolongement sous la neige."
, Secteur Pte de la Vive Arcelin 18/10/21,Arcel3,,325991,5027256,2791,"P8 ? circulaire diamètre 80cm/1m, bouchon de neige le 18/10/21"
, Secteur Pte de la Vive Arcelin 18/10/21,Arcel4,,326197,5027363,2789,"P20 ? Sondé au cailloux, étroit mais pénétrable en purgeant, pas mal de neige le 18/10/21"
, Secteur Pte de la Vive Arcelin 18/10/21,Grotte sous la glace 1,,326328,5027144,2891,Fort courant d’air distance 30m suite possible ?
,,,,,,,
,,,,,,,
,Plateau de la Réchasse           Septembre 1974 SGCAF B.Lismonde,CAF R1,,327816,5027772,2700,Prof 22m Diaclase
,Plateau de la Réchasse           Septembre 1974 SGCAF B.Lismonde,CAF R17,,327813,5027771,2780,Prof 30m Etroiture Verticale
,Plateau de la Réchasse           Septembre 1974 SGCAF B.Lismonde,CAF R18,,327812,5027772,2790,Prof 25m Puits
,Plateau de la Réchasse           Septembre 1974 SGCAF B.Lismonde,CAF R19,,327809,5027773,2810,Prof 22m dans la moraine 
,Plateau de la Réchasse           Septembre 1974 SGCAF B.Lismonde,CAF R22,,327811,5027772,2790,Prof 20m
,Plateau de la Réchasse           Septembre 1974 SGCAF B.Lismonde,CAF R24,,327810,5027772,2810,Puits 22m
,Plateau de la Réchasse           Septembre 1974 SGCAF B.Lismonde,CAF R28,,327806,5027771,2930,Puits 18m
,Au nord du Refuge,CAF 1,,,,2600,"Petits trous dans les marbres bleu du Malm 352,3x948,6"
,,,,,,,
,,,,,,,
,Pointages Google Earth secteur Rocher Genepi Pte Vive ,T1,,325820,5027630,2654,Trou ?
,Pointages Google Earth secteur Rocher Genepi Pte Vive ,T2,,326226,5027199,2857,Trou ?
,Pointages Google Earth secteur Rocher Genepi Pte Vive ,T3,,325604,5027714,2568,Trou ?
,Pointages Google Earth secteur Rocher Genepi Pte Vive ,T4,,326142,5027465,2740,Trou ?
,Pointages Google Earth secteur Rocher Genepi Pte Vive ,Trou soufleur neige ?,,326022,5027426,2742, Petit trou dans la neige le 18/10/21 
,Images satellites sept 19,M1,,326309,5026960,2935,"Moulin en bas du glacier, proche grotte sous la glace 1"
,Images satellites sept 19,M2,,326614,5026804,2987,Moulin 
,Images satellites sept 19,M3,,326358,5026638,2991,Moulin 
,Images satellites sept 19,M4,,326772,5026609,3005,Moulin 